,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,64,1,4,3,2,1,4,1,16,7
car,5,55,0,0,1,1,2,0,8,17
bird,13,0,40,4,11,16,10,2,3,1
cat,3,0,8,30,9,31,13,1,5,3
deer,5,0,9,5,42,12,4,7,3,3
dog,0,0,2,12,1,59,3,7,0,2
frog,0,0,11,5,3,5,86,1,1,0
horse,0,1,3,5,7,7,2,74,1,2
ship,13,2,0,1,0,1,1,0,85,3
truck,3,7,0,2,1,3,4,1,7,81
