,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,70,3,6,3,2,1,2,0,10,6
car,5,61,1,2,0,0,0,2,2,16
bird,9,1,52,9,12,5,7,0,2,3
cat,6,0,13,39,8,12,10,4,1,10
deer,7,0,16,14,30,4,6,9,2,2
dog,5,2,12,29,5,19,4,10,0,0
frog,4,0,7,10,15,1,70,0,2,3
horse,2,3,8,10,3,5,0,66,3,2
ship,36,4,2,3,0,0,0,0,59,2
truck,9,15,0,3,0,0,1,6,4,71
