,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,59,3,4,4,4,1,3,4,16,5
car,5,64,0,0,2,0,2,0,4,12
bird,5,1,52,12,5,4,12,6,3,0
cat,0,4,6,53,11,10,7,4,6,2
deer,2,1,13,7,43,3,10,10,1,0
dog,1,0,11,22,6,27,3,14,0,2
frog,2,0,4,9,4,2,87,1,0,3
horse,1,0,4,5,3,3,0,81,2,3
ship,10,2,0,0,3,0,0,1,88,2
truck,1,10,3,1,1,0,3,1,10,79
