,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,50,1,5,9,5,3,4,2,17,7
car,2,63,2,1,0,1,3,1,5,11
bird,8,0,46,14,6,10,11,4,1,0
cat,0,1,6,58,5,16,12,2,2,1
deer,3,0,10,7,39,9,11,9,1,1
dog,0,1,2,22,3,50,4,3,1,0
frog,0,0,3,6,2,6,92,0,1,2
horse,0,1,3,9,3,15,4,63,1,3
ship,4,6,4,7,0,0,1,1,79,4
truck,1,6,1,7,1,0,6,3,6,78
