,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,64,4,5,3,3,1,5,2,8,8
car,8,72,0,0,2,0,0,2,2,3
bird,10,2,43,7,12,12,6,5,2,1
cat,3,1,10,43,9,19,10,4,1,3
deer,7,1,9,4,42,7,4,10,4,2
dog,2,1,7,10,7,45,3,9,0,2
frog,1,0,1,12,15,7,71,1,1,3
horse,3,1,1,7,4,11,3,70,2,0
ship,20,7,0,2,0,2,0,3,69,3
truck,7,16,1,0,0,0,1,4,8,72
