,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,62,3,5,0,3,4,3,4,13,6
car,1,77,1,1,0,0,0,0,3,6
bird,8,3,40,7,12,14,6,7,3,0
cat,3,7,6,36,9,23,6,7,2,4
deer,4,0,8,6,50,3,6,10,2,1
dog,0,0,3,9,5,54,4,11,0,0
frog,0,4,5,5,4,3,88,1,1,1
horse,1,0,3,4,6,3,1,81,1,2
ship,9,8,0,2,2,1,0,0,82,2
truck,2,12,1,1,0,0,1,2,5,85
