,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,68,0,7,3,0,1,4,0,13,7
car,3,72,1,2,0,0,1,0,4,6
bird,5,0,44,15,10,6,12,5,3,0
cat,2,2,7,51,5,14,14,1,3,4
deer,5,2,14,9,33,3,9,11,3,1
dog,2,1,5,22,4,32,4,12,1,3
frog,0,0,0,8,3,4,94,1,1,1
horse,2,0,2,8,1,2,2,79,2,4
ship,10,5,4,2,0,1,1,0,82,1
truck,7,17,1,2,1,2,2,4,5,68
