,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,67,4,0,1,3,0,5,4,12,7
car,2,76,0,0,0,0,1,1,0,9
bird,11,1,37,13,18,9,3,5,2,1
cat,3,4,4,42,9,14,15,8,0,4
deer,3,1,3,5,51,4,5,15,3,0
dog,0,0,2,28,3,36,3,12,0,2
frog,1,2,4,5,3,4,90,1,1,1
horse,1,4,4,6,5,4,1,75,0,2
ship,4,10,1,4,0,0,1,0,83,3
truck,2,19,1,1,0,0,1,3,7,75
