,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,5,5,5,1,2,3,2,6,5
car,7,61,0,0,0,1,1,0,2,17
bird,7,2,47,13,10,2,5,8,2,4
cat,1,3,5,61,7,8,7,2,1,8
deer,3,0,11,11,43,4,7,9,0,2
dog,1,1,3,25,8,34,4,8,0,2
frog,0,1,8,17,10,3,70,1,0,2
horse,1,1,0,9,7,7,2,70,1,4
ship,19,3,2,2,4,0,0,1,64,11
truck,4,13,2,3,1,1,1,3,4,77
