,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,1,2,6,3,3,3,2,10,4
car,5,66,1,0,0,0,1,1,5,10
bird,9,2,41,9,14,13,5,4,1,2
cat,2,0,6,45,12,18,11,5,3,1
deer,4,2,9,8,48,3,4,11,1,0
dog,0,1,1,23,8,46,2,5,0,0
frog,0,1,3,8,6,3,90,0,1,0
horse,3,2,2,11,10,8,1,63,0,2
ship,7,7,0,4,0,2,0,1,82,3
truck,6,10,1,1,2,1,1,3,7,77
