,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,68,3,7,0,3,2,1,3,13,3
car,7,65,1,0,1,1,0,1,4,9
bird,13,0,52,3,10,17,0,3,2,0
cat,5,0,17,34,9,28,2,5,1,2
deer,10,0,17,3,39,8,0,12,1,0
dog,2,1,9,10,3,54,2,5,0,0
frog,3,1,12,9,14,9,57,2,3,2
horse,3,1,4,2,7,11,0,71,2,1
ship,13,4,0,0,1,6,0,1,81,0
truck,3,13,1,3,1,2,0,5,7,74
