,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,55,6,5,1,1,4,3,1,17,10
car,3,64,1,0,0,0,1,1,3,16
bird,10,2,42,9,12,12,7,1,3,2
cat,4,1,9,34,7,32,6,5,0,5
deer,5,1,11,4,41,11,7,7,2,1
dog,3,2,6,11,5,47,2,7,1,2
frog,0,4,7,10,9,7,70,1,3,1
horse,1,2,5,6,8,13,2,63,1,1
ship,10,12,2,4,1,4,3,0,67,3
truck,4,19,2,5,0,1,1,2,6,69
