,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,53,4,3,9,1,3,1,2,22,5
car,4,65,0,0,1,1,1,2,8,7
bird,7,2,42,12,21,5,6,0,5,0
cat,3,1,2,41,8,28,10,4,4,2
deer,7,0,8,6,32,10,9,16,1,1
dog,0,0,5,19,5,41,4,11,0,1
frog,0,2,7,10,2,6,81,2,0,2
horse,2,0,1,5,6,12,2,72,1,1
ship,8,3,0,3,0,1,1,0,89,1
truck,8,8,0,4,1,1,3,5,12,67
