,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,63,0,5,2,1,1,2,2,15,12
car,5,56,1,0,2,0,0,0,2,23
bird,10,0,41,8,13,12,3,6,4,3
cat,3,0,1,49,10,19,8,8,1,4
deer,11,0,11,5,39,5,8,8,2,1
dog,2,1,4,25,4,38,3,6,1,2
frog,3,0,8,12,6,6,72,1,1,3
horse,3,0,1,8,4,9,1,72,2,2
ship,15,4,0,3,0,0,0,0,76,8
truck,5,5,2,4,0,0,1,2,6,84
