,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,71,0,4,4,2,2,4,1,12,3
car,2,61,1,3,2,2,0,1,4,13
bird,10,0,49,6,7,8,9,6,4,1
cat,4,1,7,39,12,19,8,7,2,4
deer,4,0,13,6,42,5,2,15,2,1
dog,0,1,8,21,4,38,2,11,0,1
frog,1,0,6,12,6,3,81,0,1,2
horse,1,0,2,4,6,8,1,80,0,0
ship,5,4,1,3,2,1,0,0,86,4
truck,8,5,1,4,0,0,2,9,7,73
