,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,53,7,8,5,2,0,4,1,13,10
car,1,73,1,0,1,3,2,0,3,5
bird,8,1,57,5,8,12,6,1,1,1
cat,2,2,11,45,3,12,9,7,2,10
deer,6,1,13,4,36,7,12,8,0,3
dog,1,0,10,20,3,36,4,8,0,4
frog,0,3,5,12,5,5,79,0,1,2
horse,2,0,5,6,5,7,1,72,1,3
ship,9,3,1,0,1,2,1,0,86,3
truck,4,22,0,4,1,0,2,2,6,68
