,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,81,2,0,2,1,2,1,4,7,3
car,11,59,0,3,0,1,3,1,3,8
bird,13,1,37,7,9,15,9,7,2,0
cat,5,1,5,37,7,28,8,7,1,4
deer,8,0,7,12,36,7,8,10,1,1
dog,2,0,3,18,2,51,4,6,0,0
frog,1,0,5,5,7,11,83,0,0,0
horse,3,0,3,8,6,8,3,69,1,1
ship,33,3,2,3,1,1,2,2,53,6
truck,12,8,1,3,0,5,4,8,5,63
