,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,61,4,5,1,2,3,5,3,12,7
car,3,63,1,1,0,0,2,1,8,10
bird,8,2,38,9,11,16,7,5,1,3
cat,2,2,6,42,4,25,9,5,2,6
deer,4,1,11,10,48,4,7,5,0,0
dog,1,0,7,15,2,47,3,10,1,0
frog,1,0,2,7,5,3,90,0,0,4
horse,1,0,4,1,5,9,2,78,0,2
ship,14,6,1,3,2,0,1,0,73,6
truck,3,13,0,2,0,0,1,4,8,78
