,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,64,4,3,0,2,3,2,3,15,7
car,3,72,0,0,1,0,0,0,3,10
bird,8,1,53,6,10,8,6,5,1,2
cat,2,0,11,35,9,17,11,6,3,9
deer,2,0,10,3,55,7,3,7,1,2
dog,0,1,6,19,5,47,1,6,0,1
frog,2,1,4,6,9,7,81,0,1,1
horse,3,1,1,6,9,6,1,69,0,6
ship,10,10,1,0,0,2,0,1,80,2
truck,4,10,3,0,1,0,1,3,5,82
