,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,62,4,1,3,2,0,4,6,15,6
car,3,69,0,2,0,0,1,1,2,11
bird,11,1,49,11,5,10,7,3,3,0
cat,6,3,5,49,3,12,8,10,1,6
deer,3,2,8,11,40,3,7,10,0,6
dog,1,0,3,24,7,34,6,10,0,1
frog,0,1,3,6,4,5,90,0,2,1
horse,2,0,2,6,2,7,0,81,1,1
ship,14,4,0,2,1,0,1,1,80,3
truck,5,14,1,7,3,1,0,2,6,70
