,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,72,4,3,3,2,3,2,1,8,5
car,4,72,1,0,0,0,4,0,1,7
bird,12,2,54,11,5,6,4,2,3,1
cat,2,3,13,38,10,16,8,7,2,4
deer,7,1,12,6,47,4,5,6,0,2
dog,2,0,11,18,3,43,1,5,0,3
frog,0,3,4,9,11,3,80,0,1,1
horse,3,0,2,3,8,8,2,66,2,8
ship,11,10,0,2,1,1,1,1,77,2
truck,3,15,2,3,0,0,1,2,5,78
