,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,58,3,3,0,1,1,5,4,21,7
car,7,54,0,0,1,0,0,5,7,15
bird,9,0,42,6,13,10,6,6,3,5
cat,5,2,8,24,7,26,15,10,3,3
deer,4,0,17,7,26,10,8,14,3,1
dog,2,1,7,14,3,46,3,9,0,1
frog,2,0,2,7,5,6,82,1,3,4
horse,3,0,1,5,2,7,4,76,3,1
ship,14,2,1,3,2,0,1,1,80,2
truck,5,10,2,0,0,1,1,4,12,74
