,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,66,3,2,4,1,1,3,1,16,6
car,4,70,1,0,0,0,2,1,2,9
bird,6,2,38,11,17,9,7,2,6,2
cat,3,2,2,43,16,17,7,5,3,5
deer,7,0,5,9,52,2,2,8,2,3
dog,0,0,2,18,10,43,2,7,1,3
frog,2,2,1,5,8,4,88,1,1,0
horse,2,0,2,4,8,8,0,76,0,2
ship,5,5,1,3,1,0,0,0,88,3
truck,3,9,1,1,0,0,0,1,5,89
