,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,64,4,3,3,1,2,3,1,16,6
car,4,66,3,0,1,0,4,0,2,9
bird,10,1,56,5,6,9,7,4,1,1
cat,3,1,8,41,9,10,12,11,2,6
deer,1,1,18,6,40,4,10,9,1,0
dog,0,0,10,18,3,36,4,13,1,1
frog,3,1,7,4,5,3,88,0,0,1
horse,0,2,2,3,2,7,2,83,1,0
ship,9,8,1,2,0,3,1,0,79,3
truck,8,13,4,1,0,3,2,5,8,65
