,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,31,12,6,2,0,2,6,9,35,0
car,1,56,0,2,0,4,4,9,13,0
bird,7,3,18,13,0,23,24,5,7,0
cat,6,11,6,16,0,25,29,9,1,0
deer,2,5,10,10,0,9,38,14,2,0
dog,0,4,7,11,0,29,24,9,2,0
frog,0,2,4,10,0,8,76,11,1,0
horse,1,14,4,13,0,9,22,36,3,0
ship,19,16,2,2,0,2,1,3,61,0
truck,1,60,3,2,0,3,1,13,23,3
