,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,2,13,0,2,2,2,3,8,2
car,1,69,0,2,0,0,3,0,5,9
bird,10,0,50,6,13,2,13,2,3,1
cat,8,5,16,42,9,9,10,1,1,2
deer,10,0,15,4,46,2,9,4,0,0
dog,2,0,17,21,4,31,5,4,1,1
frog,0,0,7,6,9,4,84,0,2,0
horse,3,0,5,6,12,6,4,63,1,2
ship,13,6,0,2,1,0,1,0,79,4
truck,5,19,3,1,0,2,2,4,3,70
