,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,63,4,8,2,1,3,1,1,15,5
car,3,68,1,2,0,0,0,0,3,12
bird,7,0,60,5,6,12,4,4,1,1
cat,1,1,4,48,3,23,8,7,3,5
deer,3,0,14,9,41,6,7,8,0,2
dog,1,0,4,18,2,53,3,5,0,0
frog,0,0,9,9,2,7,85,0,0,0
horse,1,0,5,5,2,7,0,79,1,2
ship,8,3,2,1,0,2,0,0,85,5
truck,3,9,3,2,0,0,4,3,5,80
