,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,65,1,9,2,2,1,3,1,17,2
car,4,59,2,1,0,0,3,0,7,13
bird,10,0,44,7,16,6,9,2,4,2
cat,4,4,8,37,15,10,17,3,1,4
deer,3,0,13,7,40,4,14,6,1,2
dog,0,2,4,29,6,30,9,5,1,0
frog,1,1,3,6,11,4,84,0,2,0
horse,2,1,6,11,8,6,4,62,1,1
ship,16,5,3,2,1,1,2,1,71,4
truck,4,26,1,2,0,1,2,3,7,63
