,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,74,5,2,0,2,0,4,3,10,3
car,6,71,2,0,0,0,0,0,1,9
bird,7,2,50,8,15,3,10,5,0,0
cat,2,1,8,40,12,10,15,10,1,4
deer,6,0,14,7,40,1,11,11,0,0
dog,0,1,5,24,6,31,5,11,0,3
frog,1,1,5,4,7,5,84,1,1,3
horse,1,1,2,9,7,5,2,71,0,4
ship,14,8,1,2,1,0,1,0,75,4
truck,3,10,2,3,1,0,2,3,4,81
