,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,70,0,4,1,3,1,2,4,16,2
car,7,58,2,0,1,1,0,2,6,12
bird,13,1,45,7,6,13,9,3,2,1
cat,11,0,5,31,6,20,16,6,4,4
deer,11,2,19,5,21,8,11,9,1,3
dog,0,1,7,18,3,47,2,8,0,0
frog,5,0,8,4,2,3,89,0,0,1
horse,5,1,6,6,4,10,2,68,0,0
ship,11,2,1,2,0,1,2,1,84,2
truck,12,15,0,2,0,4,4,1,11,60
