,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,65,3,4,4,1,2,4,0,18,2
car,2,66,0,0,0,1,1,2,7,10
bird,11,1,42,6,15,8,7,3,3,4
cat,4,4,5,42,13,13,12,6,1,3
deer,5,0,9,6,46,2,7,9,3,3
dog,1,1,7,24,7,25,7,10,1,3
frog,1,1,3,9,4,2,86,4,0,2
horse,6,0,2,3,6,7,2,71,2,3
ship,15,4,0,1,0,0,0,0,82,4
truck,5,15,1,1,0,2,1,1,11,72
