,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,41,3,8,2,8,1,2,3,28,7
car,2,65,2,0,0,0,0,1,5,14
bird,5,1,53,8,18,3,4,6,2,0
cat,1,1,18,48,11,9,4,7,2,2
deer,1,1,7,8,58,3,0,10,2,0
dog,0,2,8,28,6,34,2,5,0,1
frog,0,2,5,15,12,1,73,0,2,2
horse,0,0,3,7,12,3,1,74,0,2
ship,6,6,0,3,2,1,0,0,84,4
truck,0,13,1,2,2,1,1,4,9,76
