,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,68,4,5,3,2,1,1,0,13,6
car,3,49,0,1,0,2,3,1,8,22
bird,9,0,38,6,19,12,7,4,3,2
cat,2,2,4,36,13,29,8,5,1,3
deer,3,1,7,7,44,9,5,9,2,3
dog,3,0,8,16,5,37,4,13,0,0
frog,2,4,4,12,13,1,74,0,1,1
horse,3,0,2,4,10,13,2,64,1,3
ship,18,0,0,2,2,1,0,0,80,3
truck,5,10,2,5,1,1,1,2,8,74
