,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,70,1,4,3,0,1,1,2,15,6
car,3,66,1,0,1,0,0,1,3,14
bird,14,1,51,10,10,3,3,5,1,2
cat,1,2,8,57,4,7,5,11,2,6
deer,6,0,13,9,38,2,4,15,3,0
dog,1,0,9,23,1,29,2,20,0,1
frog,1,0,6,9,5,5,78,3,1,4
horse,1,0,2,5,1,5,0,85,2,1
ship,12,5,0,2,1,0,0,0,84,2
truck,7,7,1,1,0,0,1,3,5,84
