,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,2,2,3,2,1,2,4,16,2
car,1,67,0,0,1,2,3,3,1,11
bird,7,2,46,3,13,12,7,8,2,0
cat,5,4,4,33,11,30,8,4,0,4
deer,4,0,11,5,44,5,4,13,2,2
dog,4,0,5,10,8,39,7,10,1,2
frog,0,2,8,1,4,5,87,4,0,1
horse,2,1,2,3,4,12,2,73,1,2
ship,16,10,0,1,2,0,1,0,76,0
truck,1,14,3,2,3,6,1,2,14,63
