,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,60,2,2,3,4,1,3,4,15,9
car,5,51,1,1,0,0,0,2,11,18
bird,7,1,48,9,10,7,7,7,4,0
cat,3,1,8,42,8,17,10,8,1,5
deer,4,2,12,9,32,3,8,19,0,1
dog,0,1,3,24,0,38,4,15,1,0
frog,0,1,4,19,7,3,72,3,1,2
horse,1,0,1,9,5,3,2,75,4,2
ship,19,4,1,1,2,2,1,2,69,5
truck,5,9,2,2,0,1,1,4,8,77
