,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,2,6,5,1,1,1,2,10,6
car,2,66,1,1,0,0,1,1,2,15
bird,11,3,61,9,4,5,4,2,1,0
cat,0,4,15,56,3,14,3,4,1,3
deer,7,1,14,10,32,7,7,10,0,2
dog,0,0,8,26,4,40,2,5,1,0
frog,0,1,11,9,3,6,79,0,0,3
horse,0,2,6,8,5,7,1,73,0,0
ship,12,10,1,7,2,0,0,0,67,7
truck,3,13,2,6,0,0,3,1,4,77
