,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,62,2,2,1,4,5,3,3,14,7
car,0,72,1,0,0,3,1,1,4,7
bird,9,1,53,6,11,8,6,4,1,1
cat,4,1,8,30,13,27,10,7,1,2
deer,6,2,12,5,46,5,7,7,0,0
dog,0,0,8,6,3,57,1,10,0,1
frog,1,1,7,3,4,8,86,1,0,1
horse,2,0,3,1,9,8,1,77,1,0
ship,17,7,1,4,0,2,0,0,75,0
truck,4,13,3,2,2,1,0,3,6,75
