,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,58,6,1,7,2,2,5,3,14,5
car,1,64,1,2,1,3,2,0,4,11
bird,5,2,36,8,17,13,14,3,2,0
cat,3,2,8,46,6,25,8,2,1,2
deer,0,1,8,11,40,9,9,9,1,2
dog,0,0,3,24,3,46,4,5,0,1
frog,0,1,3,9,4,5,88,1,1,0
horse,0,1,1,4,6,15,1,73,1,0
ship,14,4,0,3,1,0,4,2,74,4
truck,4,3,2,2,1,1,5,3,4,84
