,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,55,1,9,6,6,0,1,0,17,8
car,6,61,1,0,0,1,2,1,9,8
bird,9,1,54,5,14,2,12,0,1,2
cat,1,1,9,57,6,11,9,3,4,2
deer,4,0,7,13,47,2,4,8,3,2
dog,0,0,14,33,5,22,2,5,2,3
frog,0,2,5,6,9,1,86,0,1,2
horse,2,1,4,5,7,5,2,74,1,1
ship,15,2,2,3,1,0,0,1,78,4
truck,3,8,0,3,1,1,1,0,13,79
