,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,61,5,4,3,3,2,3,1,15,6
car,3,72,0,1,1,1,0,0,2,9
bird,10,2,50,8,12,8,8,1,1,0
cat,7,5,5,36,7,20,15,1,4,3
deer,5,1,3,13,46,4,6,9,2,1
dog,1,1,10,19,3,37,2,10,0,3
frog,3,2,4,7,3,2,87,1,0,3
horse,1,2,1,10,8,12,2,61,1,4
ship,21,8,1,5,0,0,1,0,68,2
truck,3,14,3,1,1,1,2,1,9,74
