,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,70,9,4,1,1,1,3,1,8,5
car,1,81,1,0,0,0,1,0,1,4
bird,12,4,54,3,12,6,7,1,1,0
cat,4,4,16,37,8,15,15,1,1,2
deer,4,0,12,4,51,3,5,9,2,0
dog,1,1,12,21,4,32,6,7,1,1
frog,3,5,12,6,2,2,79,1,1,1
horse,4,3,2,5,5,5,0,77,0,1
ship,20,9,0,2,1,1,0,1,67,5
truck,9,18,1,1,0,1,1,3,4,71
