,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,67,3,6,4,3,3,2,0,9,6
car,0,63,2,0,1,3,2,1,4,13
bird,6,1,51,4,13,14,5,3,3,0
cat,5,0,4,37,12,28,7,8,0,2
deer,5,2,6,7,53,4,4,9,0,0
dog,0,0,7,15,4,46,2,12,0,0
frog,0,0,5,10,6,5,85,0,0,1
horse,1,0,1,4,3,9,1,80,1,2
ship,24,6,0,6,1,0,0,1,63,5
truck,5,9,1,2,0,4,1,6,7,74
