,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,64,1,5,4,2,3,3,2,15,4
car,4,59,4,2,0,1,2,0,6,11
bird,10,0,42,8,11,9,10,5,4,1
cat,3,2,2,52,6,20,9,4,3,2
deer,5,0,7,6,52,5,3,10,1,1
dog,1,0,6,20,6,42,2,8,0,1
frog,0,0,8,9,4,4,87,0,0,0
horse,4,0,3,6,11,10,0,67,1,0
ship,10,2,1,1,2,0,0,0,89,1
truck,7,2,2,4,3,0,2,1,12,76
