,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,3,1,1,7,0,4,5,11,2
car,4,74,0,0,1,0,1,1,1,7
bird,10,0,38,9,21,5,6,6,4,1
cat,5,1,15,33,14,13,13,6,1,2
deer,3,1,7,3,58,6,3,8,1,0
dog,1,1,2,19,11,40,5,7,0,0
frog,3,2,3,4,10,4,82,0,2,2
horse,5,1,3,7,10,2,2,69,2,1
ship,14,7,2,3,1,0,0,0,73,6
truck,6,14,3,1,1,1,2,2,7,72
