,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,58,8,12,2,1,2,5,0,10,5
car,3,68,2,0,0,1,1,1,1,12
bird,7,1,57,4,10,10,8,0,1,2
cat,1,1,17,42,7,13,12,5,0,5
deer,3,1,14,4,44,7,7,8,0,2
dog,0,0,8,20,4,46,3,4,0,1
frog,0,1,3,7,3,3,91,2,1,1
horse,2,0,5,3,7,7,1,76,0,1
ship,17,9,0,3,0,1,3,1,62,10
truck,3,14,2,1,0,1,3,5,4,76
