,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,62,5,5,6,7,0,2,7,4,5
car,5,61,2,0,2,1,0,1,1,16
bird,9,1,36,21,17,2,9,3,2,0
cat,2,4,8,60,9,8,7,4,1,0
deer,4,3,6,16,44,3,7,7,0,0
dog,0,0,4,43,9,20,2,8,0,0
frog,0,0,3,19,9,4,75,0,1,1
horse,2,1,2,10,16,1,3,60,2,5
ship,21,7,3,4,2,1,1,5,56,6
truck,10,12,1,3,1,2,1,4,4,71
