,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,65,4,7,6,2,1,3,2,10,3
car,6,72,0,0,0,1,1,3,1,5
bird,9,2,46,11,10,9,5,4,4,0
cat,2,1,8,41,11,17,8,6,2,7
deer,3,2,10,7,42,4,6,15,0,1
dog,0,0,3,17,2,43,3,14,3,1
frog,0,1,8,9,9,6,75,3,1,0
horse,3,1,2,4,3,11,1,76,1,0
ship,20,2,2,1,0,0,2,0,77,2
truck,8,13,2,4,0,2,2,4,7,67
