,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,69,3,4,4,1,1,4,1,11,5
car,9,63,1,0,0,0,0,1,4,11
bird,7,0,47,11,18,2,8,2,3,2
cat,1,2,10,53,15,6,7,6,0,3
deer,2,0,12,8,54,1,2,9,1,1
dog,1,0,5,32,9,25,2,10,0,2
frog,2,0,5,13,8,0,80,1,1,2
horse,3,1,1,6,8,1,2,77,1,2
ship,16,7,2,1,5,0,0,0,73,2
truck,6,12,2,3,0,0,1,3,7,75
