,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,57,4,6,2,2,3,1,2,21,5
car,2,71,0,2,0,2,0,0,2,10
bird,6,3,44,8,11,15,6,3,4,0
cat,6,3,10,38,3,21,8,7,0,7
deer,10,1,6,10,41,5,7,6,1,3
dog,0,3,3,22,1,46,4,5,0,2
frog,0,2,2,9,5,4,85,1,2,2
horse,0,1,0,10,2,9,0,71,2,7
ship,8,7,0,2,0,1,0,0,87,1
truck,1,21,1,6,0,1,2,1,8,68
