,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,54,1,4,2,9,2,4,1,17,9
car,3,67,1,0,2,0,1,1,3,11
bird,8,1,55,2,16,7,6,1,4,0
cat,2,1,20,30,15,14,12,6,2,1
deer,1,2,13,5,56,1,3,7,1,1
dog,0,0,4,24,11,32,3,10,0,2
frog,0,4,8,5,10,1,81,0,1,2
horse,2,1,2,5,14,3,2,71,2,0
ship,4,5,3,1,1,1,1,0,87,3
truck,4,12,2,3,0,1,2,5,4,76
