,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,59,6,5,1,1,2,6,1,14,8
car,3,67,1,1,1,0,1,2,1,12
bird,7,1,42,9,17,10,5,6,2,1
cat,1,2,8,51,6,18,8,8,0,1
deer,7,2,9,6,51,4,2,7,1,1
dog,0,1,7,24,5,39,4,6,0,0
frog,3,7,6,9,6,4,73,1,1,2
horse,1,1,5,7,9,9,3,64,0,3
ship,12,8,1,5,1,3,2,0,69,5
truck,2,10,1,3,0,1,0,2,9,81
