,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,31,10,1,0,5,2,11,6,25,12
car,1,26,0,0,2,5,4,3,25,23
bird,10,1,3,0,4,14,54,4,6,4
cat,1,1,0,0,1,24,57,5,6,8
deer,4,2,0,0,2,9,59,7,5,2
dog,0,4,0,0,1,23,48,6,1,3
frog,0,0,0,0,2,4,95,2,1,8
horse,0,3,0,0,9,10,35,25,7,13
ship,23,8,0,0,2,6,5,2,47,13
truck,3,14,0,0,0,0,6,1,37,48
