,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,66,3,2,4,5,1,1,3,14,4
car,1,64,0,0,1,2,1,0,9,11
bird,9,0,41,10,8,9,12,1,6,4
cat,2,5,4,48,10,20,9,2,1,2
deer,4,0,9,9,42,4,12,6,2,2
dog,0,1,5,21,8,40,4,5,2,0
frog,1,1,4,9,3,3,89,1,1,0
horse,2,2,0,5,11,9,2,66,2,3
ship,8,7,0,3,0,0,1,0,85,2
truck,4,6,2,1,0,2,1,1,13,79
