,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,68,2,6,4,3,2,0,3,12,3
car,6,59,3,0,0,0,0,2,6,13
bird,17,0,49,9,11,7,0,3,2,2
cat,4,2,17,40,9,21,2,5,1,2
deer,5,0,18,2,42,11,1,8,3,0
dog,0,0,10,19,3,46,1,7,0,0
frog,3,1,15,19,9,8,52,0,3,2
horse,4,0,6,6,7,7,0,70,2,0
ship,20,2,0,1,1,1,0,0,75,6
truck,7,8,2,1,1,1,0,3,7,79
