,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,74,4,1,6,4,0,3,3,4,4
car,2,69,0,4,0,1,3,0,1,9
bird,15,2,36,14,9,5,12,4,1,2
cat,2,4,3,53,6,14,12,5,0,4
deer,7,0,11,7,39,6,8,6,1,5
dog,0,0,8,20,4,34,13,6,0,1
frog,1,0,0,9,2,1,97,1,0,1
horse,5,1,1,8,7,10,5,61,3,1
ship,33,9,0,1,0,0,1,0,56,6
truck,7,11,1,3,0,2,0,0,6,79
