,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,52,5,9,4,6,4,3,1,11,8
car,0,70,0,0,0,0,3,1,5,10
bird,6,1,41,9,24,8,9,1,1,0
cat,3,1,6,31,17,17,12,10,2,4
deer,1,1,12,4,47,10,11,3,1,0
dog,0,2,2,18,13,39,4,8,0,0
frog,0,0,5,4,7,3,89,2,0,2
horse,1,2,3,6,9,9,2,68,1,1
ship,14,5,4,1,0,1,2,0,74,5
truck,7,12,1,1,0,1,2,7,4,74
