,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,63,2,4,1,3,2,3,1,18,6
car,5,72,0,0,1,0,0,0,2,9
bird,7,1,52,8,14,7,4,2,3,2
cat,1,1,6,39,11,19,11,3,3,9
deer,1,0,8,4,61,4,3,4,3,2
dog,0,1,1,21,8,42,4,6,1,2
frog,1,2,4,7,7,5,85,0,0,1
horse,3,0,1,6,8,4,0,72,1,7
ship,7,4,2,2,1,1,0,1,84,4
truck,3,7,1,1,0,0,2,1,7,87
