,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,67,1,7,6,2,1,3,1,9,6
car,5,59,0,0,2,0,0,2,4,17
bird,7,0,47,11,10,13,7,3,2,0
cat,3,1,9,40,6,26,11,4,1,2
deer,3,0,13,8,37,9,6,10,2,2
dog,0,0,5,19,1,47,6,6,0,2
frog,1,1,3,11,6,5,83,1,0,1
horse,2,1,3,3,3,16,4,69,0,1
ship,16,4,3,3,1,1,1,1,74,2
truck,9,14,1,2,0,1,2,4,5,71
