,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,56,1,8,7,3,3,1,1,21,2
car,3,71,1,0,2,3,1,1,2,5
bird,12,0,53,13,10,5,3,1,2,1
cat,4,1,12,51,5,15,3,2,5,5
deer,4,1,10,9,49,7,0,8,1,1
dog,2,1,9,30,1,32,1,9,1,0
frog,0,0,13,9,8,5,72,1,2,2
horse,1,0,3,10,3,4,0,78,0,3
ship,8,7,2,3,0,0,0,1,84,1
truck,9,12,1,2,0,5,1,1,9,69
